Posição;Artista;Música
279;Radiohead;'Karma Police'
280;The Beatles;'Penny Lane'
281;Clipse;'Grindin''
282;INXS;'Never Tear Us Apart'
283;Ray Charles;'Georgia on My Mind'
284;Leonard Cohen;'Suzanne'
285;Destiny’s Child;'Say My Name'
286;ABBA;'Dancing Queen'
287;AC/DC;'You Shook Me All Night Long'
288;The Funky 4 + 1;'That's the Joint'
289;Bruce Springsteen;'Atlantic City'
290;Usher feat. Lil Jon and Ludacris;'Yeah!'
291;Phil Collins;'In the Air Tonight'
292;A Tribe Called Quest;'Can I Kick It?'
293;Alice Cooper;'School’s Out'
294;The Velvet Underground;'Sweet Jane'
295;The Who;'Won't Get Fooled Again'
296;Bikini Kill;'Rebel Girl'
297;Beach Boys;'Wouldn’t It Be Nice'
298;Bruce Springsteen;'Jungleland'
299;Screamin’ Jay Hawkins;'I Put a Spell on You'
300;The B-52's;'Rock Lobster'
301;Bob Seger;'Night Moves'
302;Pink Floyd;'Wish You Were Here'
303;TLC;'No Scrubs'
304;Kraftwerk;'Trans-Europe Express'
305;The Police;'Every Breath You Take'
306;Aretha Franklin;'Chain of Fools'
307;Gnarls Barkley;'Crazy'
308;Liz Phair;'Divorce Song'
309;Bill Withers;'Ain't No Sunshine'
310;The Doors;'Light My Fire'
311;The Eagles;'Hotel California'
312;Isaac Hayes;'Walk on By'
313;Smokey Robinson and the Miracles;'The Tears of a Clown'
314;The Stooges;'I Wanna Be Your Dog'
315;John Coltrane;'Pt. 1-Acknowledgement'
316;The Shangri-Las;'Leader of the Pack'
317;Bob Dylan;'Visions of Johanna'
318;Big Mama Thornton;'Hound Dog'
319;Tears for Fears;'Everybody Wants to Rule the World'
320;2Pac;'California Love'
321;U2;'I Still Haven’t Found What I’m Looking For'
322;Neil Young;'After the Gold Rush'
323;Everly Brothers;'All I Have to Do Is Dream'
324;Billy Joel;'Scenes From an Italian Restaurant'
325;Iggy Pop;'Lust for Life'
326;Rilo Kiley;'Portions for Foxes'
327;Mary J. Blige;'Real Love'
328;Red Hot Chili Peppers;'Under the Bridge'
329;Bad Bunny;'Safaera'
330;The Notorious B.I.G.;'Big Poppa'
331;The Marvelettes;'Please Mr. Postman'
332;Rihanna feat. Jay-Z;'Umbrella'
333;The Temptations;'Papa Was a Rollin' Stone'
334;The Grateful Dead;'Ripple'
335;Marshall Jefferson;'Move Your Body (The House Music Anthem)'
336;Hall and Oates;'She’s Gone'
337;Cher;'Believe'
338;Black Sabbath;'Paranoid'
339;Prince;'1999'
340;The Clash;'(White Man) in Hammersmith Palais'
341;The Monkees;'I'm a Believer'
342;Chuck Berry;'Promised Land'
343;The Doobie Brothers;'What a Fool Believes'
344;Black Sabbath;'Iron Man'
345;Carole King;'It’s Too Late'
346;BTS;'Dynamite'
347;Elvis Presley;'Heartbreak Hotel'
348;Roxy Music;'Virginia Plain'
349;The Zombies;'Time of the Season'
350;John Prine;'Angel From Montgomery'
351;Jorge Ben;'Ponta de Lança Africano (Umbabarauma)'
352;Ice Cube;'It Was a Good Day'
353;Eurythmics;'Sweet Dreams (Are Made of This)'
354;Michael Jackson;'Rock With You'
355;Thelma Houston;'Don't Leave Me This Way'
356;Cheap Trick;'Surrender'
357;Taylor Swift;'Blank Space'
358;Patti Smith;'Because the Night'
359;Fugees;'Killing Me Softly With His Song'
360;Prince;'Little Red Corvette'
361;Jimmy Cliff;'The Harder They Come'
362;Kacey Musgraves;'Merry Go 'Round'
363;Bob Marley and the Wailers;'Could You Be Loved'
364;The Grateful Dead;'Box of Rain'
365;Sex Pistols;'God Save the Queen'
366;The Crystals;'Da Doo Ron Ron'
367;Frank Ocean;'Thinkin Bout You'
368;Soundgarden;'Black Hole Sun'
369;The Cars;'Just What I Needed'
370;Buddy Holly;'Peggy Sue'
371;Elton John;'Bennie and the Jets'
372;Bonnie Raitt;'I Can't Make You Love Me'
373;Drake;'Hotline Bling'
374;William DeVaughn;'Be Thankful for What You Got'
375;The Drifters;'Up on the Roof'
376;Merle Haggard;'Mama Tried'
377;The Cure;'Pictures of You'
378;The Killers;'Mr. Brightside'
379;D’Angelo;'Untitled (How Does It Feel)'
380;Fountains of Wayne;'Radiation Vibe'
381;The Slits;'Typical Girls'
382;Fiona Apple;'Paper Bag'
383;Childish Gambino;'Redbone'
384;Cardi B, J Balvin, and Bad Bunny;'I Like It'
385;Diana Ross;'I'm Coming Out'
386;The Kinks;'Lola'
387;New York Dolls;'Personality Crisis'
388;DMX;'Party Up (Up in Here)'
389;Pretenders;'Brass in Pocket'
390;Metallica;'Enter Sandman'
391;Eric Church;'Springsteen'
392;Coldplay;'Fix You'
393;James Brown;'Say It Loud (I’m Black and I’m Proud)'
394;Jeff Buckley;'Grace'
395;Afrika Bambaataa and the Soulsonic Force;'Planet Rock'
396;Elvis Costello;'Alison'
397;Public Enemy;'Bring the Noise'
398;Duran Duran;'Hungry Like the Wolf'
399;Sylvester;'You Make Me Feel (Mighty Real)'
400;David Bowie;'Station to Station'
401;Fleetwood Mac;'Go Your Own Way'
402;Bill Withers;'Lovely Day'
403;Rufus and Chaka Khan;'Ain’t Nobody'
404;Kiss;'Rock and Roll All Nite'
405;Selena;'Amor Prohibido'
406;Run-DMC;'Sucker MC's'
407;Lynyrd Skynyrd;'Free Bird'
408;Cat Stevens/Yusuf;'Father and Son'
409;Foo Fighters;'Everlong'
410;Allman Brothers Band;'Whipping Post'
411;Wilco;'Heavy Metal Drummer'
412;Neneh Cherry;'Buffalo Stance'
413;Them;'Gloria'
414;Blondie;'Dreaming'
415;Depeche Mode;'Enjoy the Silence'
416;Pearl Jam;'Alive'
417;Mark Ronson feat. Bruno Mars;'Uptown Funk'
418;Booker T. and the MGs;'Green Onions'
419;Mariah Carey;'Fantasy'
420;The Mamas and the Papas;'California Dreamin' '
421;The Smiths;'How Soon Is Now?'
422;Craig Mack feat. Notorious B.I.G., LL Cool J, Busta Rhymes, Rampage;'Flava in Ya Ear (Remix)'
423;Fiona Apple;'Criminal'
424;Muddy Waters;'Mannish Boy'
425;Muddy Waters;'Mannish Boy'
426;Nicki Minaj;'Super Bass'
427;Sugar Hill Gang;'Rapper's Delight'
428;Harry Styles;'Sign of the Times'
429;Queen and David Bowie;'Under Pressure'
430;Pete Rock and CL Smooth;'They Reminisce Over You'
431;Prince;'Adore'
432;Eddie Cochran;'Summertime Blues'
433;Pet Shop Boys;'West End Girls'
434;Ramones;'Sheena Is a Punk Rocker'
435;Rush;'Limelight'
436;Carly Rae Jepsen;'Call Me Maybe'
437;Lucinda Williams;'Passionate Kisses'
438;Megan Thee Stallion feat. Beyoncé;'Savage (Remix)'
439;Celia Cruz;'La Vida Es un Carnaval'
440;Alicia Keys;'If I Ain't Got You'
441;Miranda Lambert;'The House That Built Me'
442;Motörhead;'Ace of Spades'
443;Fall Out Boy;'Sugar, We’re Goin Down'
444;50 Cent;'In Da Club'
445;T. Rex;'Cosmic Dancer'
446;Bruce Springsteen;'Rosalita (Come Out Tonight)'
447;The Beatles;'Help!'
448;Erykah Badu;'Tyrone'
449;Blue Öyster Cult;'(Don’t Fear) The Reaper'
450;Neil Young;'Powderfinger'
451;Migos feat. Lil Uzi Vert;'Bad and Boujee'
452;Toto;'Africa'
453;Missy Elliot;'The Rain (Supa Dupa Fly)'
454;Sister Nancy;'Bam Bam'
455;Jefferson Airplane;'White Rabbit'
456;Lana Del Rey;'Summertime Sadness'
457;Bon Jovi;'Livin' on a Prayer'
458;Beck;'Loser'
459;Sade;'No Ordinary Love'
460;Steel Pulse;'Ku Klux Klan'
461;Roy Orbison;'Crying'
462;Van Morrison;'Into the Mystic'
